"name","count","countries","cities","roles","samples"
"FUN&SUN FAMILY Albatros Palace","1","Egypt","FUN&SUN FAMILY Albatros Palace","to","Sharm el-Sheikh International Airport (SSH) -> FUN&SUN FAMILY Albatros Palace"
"Gällivare","3","Sweden","Gällivare","to","Gällivare Airport (GEV) -> Gällivare || Kiruna Airport (KRN) -> Gällivare || Luleå Airport (LLA) -> Gällivare"
"Gällivare Airport (GEV)","2","Sweden","Gällivare|Jokkmokk","from","Gällivare Airport (GEV) -> Gällivare || Gällivare Airport (GEV) -> Jokkmokk"
"Gåshaga","2","Sweden","Gåshaga","to","Stockholm Arlanda Airport (ARN) -> Gåshaga || Stockholm Arlanda Airport (ARN) -> Gåshaga"
"Gatchina","7","Russia","Gatchina","to","Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina"
"Gävle town","2","Sweden","Gävle town","to","Stockholm Arlanda Airport (ARN) -> Gävle town || Stockholm Arlanda Airport (ARN) -> Gävle town"
"Gdansk","2","Russia","Gdansk","to","Kaliningrad Khrabrovo Airport (KGD) -> Gdansk || Kaliningrad Khrabrovo Airport (KGD) -> Gdansk"
"Gebze - Dilovasi","8","Turkey","Istanbul","from|to","Gebze - Dilovasi -> Istanbul Airport (IST) || Gebze - Dilovasi -> Istanbul Airport (IST) || Gebze - Dilovasi -> Istanbul Sabiha Gokcen Airport (SAW)"
"Geilo, Norway","1","Norway","Geilo, Norway","to","Oslo Gardermoen Airport (OSL) -> Geilo, Norway"
"Geiranger","1","Norway","Geiranger","to","Oslo Gardermoen Airport (OSL) -> Geiranger"
"Gelendzhik","7","Russia","Gelendzhik","to","Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik"
"Gelendzhik Airport (GDZ)","6","Russia","Gelendzhik","from","Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik"
"Geoje Island","3","South Korea","Geoje Island","to","Busan Gimhae Airport (PUS) -> Geoje Island || Busan Gimhae Airport (PUS) -> Geoje Island || Busan Gimhae Airport (PUS) -> Geoje Island"
"Gerasa","1","Cyprus","Gerasa","to","Larnaca Airport (LCA) -> Gerasa"
"Ghantoot","7","United Arab Emirates","Ghantoot","to","Dubai international Airport (DXB) -> Ghantoot || Dubai international Airport (DXB) -> Ghantoot || Dubai international Airport (DXB) -> Ghantoot"
"Gijang-gun","2","South Korea","Gijang-gun","to","Busan Gimhae Airport (PUS) -> Gijang-gun || Busan Gimhae Airport (PUS) -> Gijang-gun"
"Gimpo","10","South Korea","Gimpo","to","Seoul Gimpo Airport (GMP) -> Gimpo || Seoul Gimpo Airport (GMP) -> Gimpo || Seoul Gimpo Airport (GMP) -> Gimpo"
"Gioliu","1","Cyprus","Gioliu","to","Paphos Airport (PFO) -> Gioliu"
"Girona–Costa Brava Airport (GRO)","2","Spain","Barcelona El Prat Airport (BCN)","from","Girona–Costa Brava Airport (GRO) -> Barcelona El Prat Airport (BCN) || Girona–Costa Brava Airport (GRO) -> Barcelona El Prat Airport (BCN)"
"Giza","2","Egypt","Giza","to","Cairo International Airport (CAI) -> Giza || Cairo International Airport (CAI) -> Giza"
"Glendale","14","United States of America","Glendale","to","Long Beach Airport (LGB) -> Glendale || Long Beach Airport (LGB) -> Glendale || Long Beach Airport (LGB) -> Glendale"
"Global Village, Dubai","8","United Arab Emirates","Global Village, Dubai","to","Dubai international Airport (DXB) -> Global Village, Dubai || Dubai international Airport (DXB) -> Global Village, Dubai || Dubai international Airport (DXB) -> Global Village, Dubai"
"Glostrup","3","Denmark","Glostrup","to","Copenhagen Kastrup Airport (CPH) -> Glostrup || Copenhagen Kastrup Airport (CPH) -> Glostrup || Copenhagen Kastrup Airport (CPH) -> Glostrup"
"Gøteborg / Göteborg / Gothenburg","8","Denmark|Norway|Sweden","Gøteborg / Göteborg / Gothenburg","to","Copenhagen Kastrup Airport (CPH) -> Gøteborg / Göteborg / Gothenburg || Copenhagen Kastrup Airport (CPH) -> Gøteborg / Göteborg / Gothenburg || Copenhagen Kastrup Airport (CPH) -> Gøteborg / Göteborg / Gothenburg"
"Gothenburg Landvetter Airport (GOT)","9","Sweden","Borås / Boras|Gøteborg / Göteborg / Gothenburg|Huskvarna|Jonköping / Jonkoping|Kungsbacka|Kungälv / Kungalv|Marstrand|Trollhättan","from","Gothenburg Landvetter Airport (GOT) -> Borås / Boras || Gothenburg Landvetter Airport (GOT) -> Gøteborg / Göteborg / Gothenburg || Gothenburg Landvetter Airport (GOT) -> Gøteborg / Göteborg / Gothenburg"
"Goyang","10","South Korea","Goyang","to","Seoul Gimpo Airport (GMP) -> Goyang || Seoul Gimpo Airport (GMP) -> Goyang || Seoul Gimpo Airport (GMP) -> Goyang"
"Goynuk / Göynük","4","Turkey","Goynuk / Göynük","to","Antalya Airport (AYT) -> Goynuk / Göynük || Antalya Airport (AYT) -> Goynuk / Göynük || Antalya Airport (AYT) -> Goynuk / Göynük"
"Gran Canaria Airport (LPA)","4","Spain","Las Palmas de Gran Canaria","from","Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria"
"Grand Rotana Resort","2","Egypt","Grand Rotana Resort","to","Sharm el-Sheikh International Airport (SSH) -> Grand Rotana Resort || Sharm el-Sheikh International Airport (SSH) -> Grand Rotana Resort"
"Grisslehamn","2","Sweden","Grisslehamn","to","Stockholm Arlanda Airport (ARN) -> Grisslehamn || Stockholm Arlanda Airport (ARN) -> Grisslehamn"
"Guangzhou Baiyun International Airport (CAN)","5","China","GuangZhou city center","from","Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center"
"GuangZhou city center","5","China","GuangZhou city center","to","Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center"
"Gueliz","7","Morocco","Gueliz","to","Marrakesh Menara Airport (RAK) -> Gueliz || Marrakesh Menara Airport (RAK) -> Gueliz || Marrakesh Menara Airport (RAK) -> Gueliz"
"Gundogdu / Gündoğdu","5","Turkey","Gundogdu / Gündoğdu","to","Antalya Airport (AYT) -> Gundogdu / Gündoğdu || Antalya Airport (AYT) -> Gundogdu / Gündoğdu || Antalya Airport (AYT) -> Gundogdu / Gündoğdu"
"Gunma district","9","Japan","Gunma district","to","Tokyo (within 23 wards) -> Gunma district || Tokyo (within 23 wards) -> Gunma district || Tokyo (within 23 wards) -> Gunma district"
"Gunpo","9","South Korea","Gunpo","to","Seoul Gimpo Airport (GMP) -> Gunpo || Seoul Gimpo Airport (GMP) -> Gunpo || Seoul Gimpo Airport (GMP) -> Gunpo"
"Guri","10","South Korea","Guri","to","Seoul Gimpo Airport (GMP) -> Guri || Seoul Gimpo Airport (GMP) -> Guri || Seoul Gimpo Airport (GMP) -> Guri"
"Gustavsberg town","2","Sweden","Gustavsberg town","to","Stockholm Arlanda Airport (ARN) -> Gustavsberg town || Stockholm Arlanda Airport (ARN) -> Gustavsberg town"
"Gwacheon","10","South Korea","Gwacheon","to","Seoul Gimpo Airport (GMP) -> Gwacheon || Seoul Gimpo Airport (GMP) -> Gwacheon || Seoul Gimpo Airport (GMP) -> Gwacheon"
"Gwangmyeong","10","South Korea","Gwangmyeong","to","Seoul Gimpo Airport (GMP) -> Gwangmyeong || Seoul Gimpo Airport (GMP) -> Gwangmyeong || Seoul Gimpo Airport (GMP) -> Gwangmyeong"
"Gyeongju","3","South Korea","Gyeongju","to","Busan Gimhae Airport (PUS) -> Gyeongju || Busan Gimhae Airport (PUS) -> Gyeongju || Busan Gimhae Airport (PUS) -> Gyeongju"
"Hafjell (ski resort)","1","Norway","Hafjell (ski resort)","to","Oslo Gardermoen Airport (OSL) -> Hafjell (ski resort)"
"Halden","1","Norway","Halden","to","Oslo Gardermoen Airport (OSL) -> Halden"
"Hamar","1","Norway","Hamar","to","Oslo Gardermoen Airport (OSL) -> Hamar"
"Hamburg","4","Germany","Hamburg","to","Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg"
"Hamburg Airport (HAM)","4","Germany","Hamburg","from","Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg"
"Hämeenlinna","3","Finland","Hämeenlinna","to","Helsinki Vantaa airport (HEL) -> Hämeenlinna || Helsinki Vantaa airport (HEL) -> Hämeenlinna || Helsinki Vantaa airport (HEL) -> Hämeenlinna"
"Hammarby Sjöstad district, Stockholm","2","Sweden","Hammarby Sjöstad district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Hammarby Sjöstad district, Stockholm || Stockholm Arlanda Airport (ARN) -> Hammarby Sjöstad district, Stockholm"
"Hanam","10","South Korea","Hanam","to","Seoul Gimpo Airport (GMP) -> Hanam || Seoul Gimpo Airport (GMP) -> Hanam || Seoul Gimpo Airport (GMP) -> Hanam"
"Hang Dong District","1","Thailand","Hang Dong District","to","Chiang Mai International Airport (CNX) -> Hang Dong District"
"Haninge municipality","2","Sweden","Haninge municipality","to","Stockholm Arlanda Airport (ARN) -> Haninge municipality || Stockholm Arlanda Airport (ARN) -> Haninge municipality"
"Hanko","3","Finland","Hanko","to","Helsinki Vantaa airport (HEL) -> Hanko || Helsinki Vantaa airport (HEL) -> Hanko || Helsinki Vantaa airport (HEL) -> Hanko"
"Harads","1","Sweden","Harads","to","Luleå Airport (LLA) -> Harads"
"Harry Mwanga Nkumbula International Airport (LVI)","5","Zambia","Harry Mwanga Nkumbula International Airport (LVI)|Livingstone","from|to","Harry Mwanga Nkumbula International Airport (LVI) -> Harry Mwanga Nkumbula International Airport (LVI) || Harry Mwanga Nkumbula International Airport (LVI) -> Harry Mwanga Nkumbula International Airport (LVI) || Harry Mwanga Nkumbula International Airport (LVI) -> Harry Mwanga Nkumbula International Airport (LVI)"
"Hartsfield–Jackson Atlanta Airport (ATL)","3","United States of America","Atlanta","from","Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta"
"Hässelby district, Stockholm","2","Sweden","Hässelby district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Hässelby district, Stockholm || Stockholm Arlanda Airport (ARN) -> Hässelby district, Stockholm"
"Hat Yai, Songkhla","2","Thailand","Hat Yai, Songkhla","to","Phuket International Airport (HKT) -> Hat Yai, Songkhla || Phuket International Airport (HKT) -> Hat Yai, Songkhla"
"Havryshivka Vinnytsia International Airport (VIN)","1","Ukraine","Vinnytsia","from","Havryshivka Vinnytsia International Airport (VIN) -> Vinnytsia"
"Heliopolis","2","Egypt","Heliopolis","to","Cairo International Airport (CAI) -> Heliopolis || Cairo International Airport (CAI) -> Heliopolis"
"Helsingborg","3","Sweden","Helsingborg","to","Malmö Sturup Airport (MMX) -> Helsingborg || Ängelholm Airport (AGH) -> Helsingborg || Ängelholm Airport (AGH) -> Helsingborg"
"Helsinki","8","Finland","Helsinki","to","Helsinki Vantaa airport (HEL) -> Helsinki || Helsinki Vantaa airport (HEL) -> Helsinki || Helsinki Vantaa airport (HEL) -> Helsinki"
"Helsinki Vantaa airport (HEL)","113","Finland","Espoo|Hanko|Helsinki|Hyvinkää|Hämeenlinna|Iisalmi|Imatra|Innotelli, Helsinki, Finland|Joensuu|Järvenpää|Kaitaa / Soukka / Matinkyla / Olari / Latokaski|Kaivonkatsojantie, Helsinki|Kajaani|Kaunianen|Kemi|Kerava|Kirkkonummi|Kittilä|Kokkola|Kotka|Kouvola|Kuopio|Lahti|Lappeenranta|Mikkeli|Oulu|Pori|Port of Helsinki|Porvoo|Rauma|Rovaniemi|Savonlinna|Seinäjoki|Tampere|Tornio/Haaparanta|Turku|Vaasa|Vantaa city, Finland","from","Helsinki Vantaa airport (HEL) -> Espoo || Helsinki Vantaa airport (HEL) -> Espoo || Helsinki Vantaa airport (HEL) -> Espoo"
"Hemsedal","1","Norway","Hemsedal","to","Oslo Gardermoen Airport (OSL) -> Hemsedal"
"Hetepuronpolku","2","Finland","Hetepuronpolku","to","Rovaniemi Airport (RVN) -> Hetepuronpolku || Rovaniemi Airport (RVN) -> Hetepuronpolku"
"Hikkaduwa","2","Sri-Lanka","Colombo|Kandy","from","Hikkaduwa -> Colombo || Hikkaduwa -> Kandy"
"Hisarönü (Marmaris)","3","Turkey","Hisarönü (Marmaris)","to","Dalaman Airport (DLM) -> Hisarönü (Marmaris) || Dalaman Airport (DLM) -> Hisarönü (Marmaris) || Dalaman Airport (DLM) -> Hisarönü (Marmaris)"
"Hivernage","7","Morocco","Hivernage","to","Marrakesh Menara Airport (RAK) -> Hivernage || Marrakesh Menara Airport (RAK) -> Hivernage || Marrakesh Menara Airport (RAK) -> Hivernage"
"Hollywood","6","United States of America","Hollywood","to","Port of Los Angeles -> Hollywood || Port of Los Angeles -> Hollywood || Port of Los Angeles -> Hollywood"
"Hollywood, California","10","United States of America","Hollywood, California|Los Angeles","to","Long Beach Airport (LGB) -> Hollywood, California || Long Beach Airport (LGB) -> Hollywood, California || Long Beach Airport (LGB) -> Hollywood, California"
"Hønefoss","1","Norway","Hønefoss","to","Oslo Gardermoen Airport (OSL) -> Hønefoss"
"Hong Kong Airport (HKG)","22","China","Central and Western|Estern district Hong Kong|Tai Po|Tuen Mun|Wan Chai district, Hong Kong|Wong Tai Sin|Yuen Long","from","Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Estern district Hong Kong"
"Horsens","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Horsens"
"Hot Waterfall Hotel/ Hot Stream Krabi Thailand","2","Thailand","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","to","Krabi International Airport (KBV) -> Hot Waterfall Hotel/ Hot Stream Krabi Thailand || Krabi International Airport (KBV) -> Hot Waterfall Hotel/ Hot Stream Krabi Thailand"
"Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand","2","Thailand","Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand","to","Krabi International Airport (KBV) -> Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand || Krabi International Airport (KBV) -> Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand"
"Hua Hin, PrachuapKhiriKhan","8","Thailand","Hua Hin, PrachuapKhiriKhan","to","Bangkok Don Muang Airport (DMK) -> Hua Hin, PrachuapKhiriKhan || Bangkok Don Muang Airport (DMK) -> Hua Hin, PrachuapKhiriKhan || Bangkok Suvarnabhumi Airport (BKK) -> Hua Hin, PrachuapKhiriKhan"
"Hua Thanon, Samui","5","Thailand","Hua Thanon, Samui","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Hua Thanon, Samui || Koh Samui - Mae Nam Port (Surat Thani ) -> Hua Thanon, Samui || Samui International Airport (USM) -> Hua Thanon, Samui"
"Hurghada","3","Egypt","Hurghada","to","Cairo International Airport (CAI) -> Hurghada || Hurghada Airport (HRG) -> Hurghada || Hurghada Airport (HRG) -> Hurghada"
"Hurghada Airport (HRG)","10","Egypt","El Gouna|Hurghada|Makadi Bay|Safaga|Soma Bay","from","Hurghada Airport (HRG) -> El Gouna || Hurghada Airport (HRG) -> El Gouna || Hurghada Airport (HRG) -> Hurghada"
"Huskvarna","1","Sweden","Huskvarna","to","Gothenburg Landvetter Airport (GOT) -> Huskvarna"
"Hyvinkää","1","Finland","Hyvinkää","to","Helsinki Vantaa airport (HEL) -> Hyvinkää"
"Ibiza","5","Spain","Ibiza","to","Ibiza Airport (IBZ) -> Ibiza || Ibiza Airport (IBZ) -> Ibiza || Ibiza Airport (IBZ) -> Ibiza"
"Ibiza Airport (IBZ)","5","Spain","Ibiza","from","Ibiza Airport (IBZ) -> Ibiza || Ibiza Airport (IBZ) -> Ibiza || Ibiza Airport (IBZ) -> Ibiza"
"Ibrid","6","Jordan","Ibrid","to","Amman Civil Airport (Marka) (ADJ) -> Ibrid || Amman Civil Airport (Marka) (ADJ) -> Ibrid || Amman Civil Airport (Marka) (ADJ) -> Ibrid"
"Iisalmi","3","Finland","Iisalmi","to","Helsinki Vantaa airport (HEL) -> Iisalmi || Helsinki Vantaa airport (HEL) -> Iisalmi || Helsinki Vantaa airport (HEL) -> Iisalmi"
"Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu","8","Turkey","Istanbul","from|to","Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu -> Istanbul Airport (IST) || Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu -> Istanbul Airport (IST) || Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu -> Istanbul Sabiha Gokcen Airport (SAW)"
"Imatra","3","Finland","Imatra","to","Helsinki Vantaa airport (HEL) -> Imatra || Helsinki Vantaa airport (HEL) -> Imatra || Helsinki Vantaa airport (HEL) -> Imatra"
"Incekum","3","Turkey","Incekum","to","Antalya Airport (AYT) -> Incekum || Antalya Airport (AYT) -> Incekum || Antalya Airport (AYT) -> Incekum"
"Incheon","10","South Korea","Incheon","to","Seoul Gimpo Airport (GMP) -> Incheon || Seoul Gimpo Airport (GMP) -> Incheon || Seoul Gimpo Airport (GMP) -> Incheon"
"Inglewood","28","United States of America","Inglewood","to","John Wayne Airport (SNA) -> Inglewood || John Wayne Airport (SNA) -> Inglewood || John Wayne Airport (SNA) -> Inglewood"
"Innotelli, Helsinki, Finland","1","Finland","Innotelli, Helsinki, Finland","to","Helsinki Vantaa airport (HEL) -> Innotelli, Helsinki, Finland"
"International Airport Irkutsk (IKT)","13","Russia","Irkutsk|Listvyanka|Tankhoi","from","International Airport Irkutsk (IKT) -> Irkutsk || International Airport Irkutsk (IKT) -> Irkutsk || International Airport Irkutsk (IKT) -> Irkutsk"
"Ipsonas","1","Cyprus","Ipsonas","to","Larnaca Airport (LCA) -> Ipsonas"
"Irkutsk","5","Russia","Irkutsk","to","International Airport Irkutsk (IKT) -> Irkutsk || International Airport Irkutsk (IKT) -> Irkutsk || International Airport Irkutsk (IKT) -> Irkutsk"
"Irvine","7","United States of America","Irvine","to","John Wayne Airport (SNA) -> Irvine || John Wayne Airport (SNA) -> Irvine || John Wayne Airport (SNA) -> Irvine"
"Islamabad","5","Pakistan","Islamabad","to","Islamabad International Airport (ISB) -> Islamabad || Islamabad International Airport (ISB) -> Islamabad || Islamabad International Airport (ISB) -> Islamabad"
"Islamabad International Airport (ISB)","5","Pakistan","Islamabad","from","Islamabad International Airport (ISB) -> Islamabad || Islamabad International Airport (ISB) -> Islamabad || Islamabad International Airport (ISB) -> Islamabad"
"Istanbul","6","Turkey","Istanbul","from","Istanbul -> Bursa daily trip || Istanbul -> Bursa daily trip || Istanbul -> Disposal up to 8 hours / 100 km within Istanbul"
"Istanbul Airport (IST)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST)"
"Istanbul Sabiha Gokcen Airport (SAW)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)"
"Ivanovo","5","Russia","Ivanovo","to","Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo"
"Ivanovo Yuzhny Airport (IWA)","5","Russia","Ivanovo","from","Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo || Ivanovo Yuzhny Airport (IWA) -> Ivanovo"
"Izhevsk","4","Russia","Izhevsk","to","Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk"
"Izhevsk Airport (IJK)","4","Russia","Izhevsk","from","Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk"
"Izmir Adnan Menderes Airport (ADB)","3","Turkey","Kusadası","from","Izmir Adnan Menderes Airport (ADB) -> Kusadası || Izmir Adnan Menderes Airport (ADB) -> Kusadası || Izmir Adnan Menderes Airport (ADB) -> Kusadası"
"Jakobsberg","2","Sweden","Jakobsberg","to","Stockholm Arlanda Airport (ARN) -> Jakobsberg || Stockholm Arlanda Airport (ARN) -> Jakobsberg"
"Järvenpää","3","Finland","Järvenpää","to","Helsinki Vantaa airport (HEL) -> Järvenpää || Helsinki Vantaa airport (HEL) -> Järvenpää || Helsinki Vantaa airport (HEL) -> Järvenpää"
"Jeju Airport (CJU)","3","South Korea","Jeju city center|Jeju outskirts|Seogwipo City Center","from","Jeju Airport (CJU) -> Jeju city center || Jeju Airport (CJU) -> Jeju outskirts || Jeju Airport (CJU) -> Seogwipo City Center"
"Jeju city center","1","South Korea","Jeju city center","to","Jeju Airport (CJU) -> Jeju city center"
"Jeju outskirts","1","South Korea","Jeju outskirts","to","Jeju Airport (CJU) -> Jeju outskirts"
"Jeonju","3","South Korea","Jeonju","to","Busan Gimhae Airport (PUS) -> Jeonju || Busan Gimhae Airport (PUS) -> Jeonju || Busan Gimhae Airport (PUS) -> Jeonju"
"Jerash","6","Jordan","Jerash","to","Amman Civil Airport (Marka) (ADJ) -> Jerash || Amman Civil Airport (Marka) (ADJ) -> Jerash || Amman Civil Airport (Marka) (ADJ) -> Jerash"
"Jimbaran","2","Indonesia","Jimbaran","to","Denpasar Ngurah Rai Airport (DPS) -> Jimbaran || Ubud -> Jimbaran"
"Joensuu","6","Finland","Joensuu","to","Helsinki Vantaa airport (HEL) -> Joensuu || Helsinki Vantaa airport (HEL) -> Joensuu || Helsinki Vantaa airport (HEL) -> Joensuu"
"Johanneshov district, Stockholm","2","Sweden","Johanneshov district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Johanneshov district, Stockholm || Stockholm Arlanda Airport (ARN) -> Johanneshov district, Stockholm"
"John Wayne Airport (SNA)","260","United States of America","Anaheim|Bakersfield|Beverly Hills|Buena Park|Calabasas|Chula Vista|Downtown Los Angeles|El Cajon|Fresno|Inglewood|Irvine|Jurupa Valley|Laguna Beach|Lake Forest, Mission Viejo|Las Vegas|Long Beach|Malibu|Montrose|Newport Beach|Ojai+Oak View|Ontario|Orange|Oxnard+Ventura+Camarillo|Palm Springs+Coachella|Pomona|San Bernardino|San Clemente|San Diego|San Fernando|San Francisco|San Marcos+Rancho Santa Fe+Escondido|Santa Barbara+Carpinteria|Santa Clarita|Santa Monica|Sunland+Tujunga|Thousand Oaks+Simi Valley","from","John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim"
"Jokkmokk","2","Sweden","Jokkmokk","to","Gällivare Airport (GEV) -> Jokkmokk || Luleå Airport (LLA) -> Jokkmokk"
"Jonköping / Jonkoping","1","Sweden","Jonköping / Jonkoping","to","Gothenburg Landvetter Airport (GOT) -> Jonköping / Jonkoping"
"Jukkasjärvi","1","Sweden","Jukkasjärvi","to","Kiruna Airport (KRN) -> Jukkasjärvi"
"Jurupa Valley","21","United States of America","Jurupa Valley","to","John Wayne Airport (SNA) -> Jurupa Valley || John Wayne Airport (SNA) -> Jurupa Valley || John Wayne Airport (SNA) -> Jurupa Valley"
"JVC Dubai","8","United Arab Emirates","JVC Dubai","to","Dubai international Airport (DXB) -> JVC Dubai || Dubai international Airport (DXB) -> JVC Dubai || Dubai international Airport (DXB) -> JVC Dubai"
"Kadriye","5","Turkey","Kadriye","to","Antalya Airport (AYT) -> Kadriye || Antalya Airport (AYT) -> Kadriye || Antalya Airport (AYT) -> Kadriye"
"Kaitaa / Soukka / Matinkyla / Olari / Latokaski","3","Finland","Kaitaa / Soukka / Matinkyla / Olari / Latokaski","to","Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski || Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski || Helsinki Vantaa airport (HEL) -> Kaitaa / Soukka / Matinkyla / Olari / Latokaski"
"Kaivonkatsojantie, Helsinki","1","Finland","Kaivonkatsojantie, Helsinki","to","Helsinki Vantaa airport (HEL) -> Kaivonkatsojantie, Helsinki"
"Kajaani","3","Finland","Kajaani","to","Helsinki Vantaa airport (HEL) -> Kajaani || Helsinki Vantaa airport (HEL) -> Kajaani || Helsinki Vantaa airport (HEL) -> Kajaani"
"Kakopetria","1","Cyprus","Kakopetria","to","Larnaca Airport (LCA) -> Kakopetria"
"Kalai, Phang Nga","2","Thailand","Kalai, Phang Nga","to","Phuket International Airport (HKT) -> Kalai, Phang Nga || Phuket International Airport (HKT) -> Kalai, Phang Nga"
"Kalba / Qalba","3","United Arab Emirates","Kalba / Qalba","to","Sharjah Airport (SHJ) -> Kalba / Qalba || Sharjah Airport (SHJ) -> Kalba / Qalba || Sharjah Airport (SHJ) -> Kalba / Qalba"
"Kaliningrad","4","Russia","Kaliningrad","to","Kaliningrad Khrabrovo Airport (KGD) -> Kaliningrad || Kaliningrad Khrabrovo Airport (KGD) -> Kaliningrad || Kaliningrad Khrabrovo Airport (KGD) -> Kaliningrad"
"Kaliningrad Khrabrovo Airport (KGD)","41","Russia","Baltiysk|Gdansk|Kaliningrad|Pionerskiy|Rybachy|Svetlogorsk|Warsaw|Yantarny|Zelenogradsk","from","Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk"
"Kalkan","4","Turkey","Kalkan","to","Antalya Airport (AYT) -> Kalkan || Antalya Airport (AYT) -> Kalkan || Antalya Airport (AYT) -> Kalkan"
"Kalmar","1","Sweden","Kalmar","to","Kalmar Airport (KLR) -> Kalmar"
"Kalmar Airport (KLR)","2","Sweden","Borgholm|Kalmar","from","Kalmar Airport (KLR) -> Borgholm || Kalmar Airport (KLR) -> Kalmar"
"Kalo Chorio Limassol","1","Cyprus","Kalo Chorio Limassol","to","Larnaca Airport (LCA) -> Kalo Chorio Limassol"
"Kalopanagiotis","1","Cyprus","Kalopanagiotis","to","Larnaca Airport (LCA) -> Kalopanagiotis"
"Kamakura","9","Japan","Kamakura","to","Tokyo (within 23 wards) -> Kamakura || Tokyo (within 23 wards) -> Kamakura || Tokyo (within 23 wards) -> Kamakura"
"Kamala beach, Phuket","10","Thailand","Kamala beach, Phuket","to","Krabi International Airport (KBV) -> Kamala beach, Phuket || Krabi International Airport (KBV) -> Kamala beach, Phuket || Phuket International Airport (HKT) -> Kamala beach, Phuket"
