"name","count","countries","cities","roles","samples"
"Amman Civil Airport (Marka) (ADJ)","51","Jordan","Ajloun|Amman|Aqaba|Dana|Dead sea|Ibrid|Jerash|Karak|King Hussain Bridge|Maan|Madaba|Mafraq|Petra|Salt city|Sheikh Hussein Bridge|Wadi Rum|Zarqa area","from","Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun"
"Amman Queen Alia Airport (AMM)","53","Jordan","Ajloun|Amman|Aqaba|Dana|Dead sea|Ibrid|Jerash|Karak|King Hussain Bridge|Maan|Madaba|Mafraq|Petra|Salt city|Sheikh Hussein Bridge|Wadi Rum|Zarqa area","from","Amman Queen Alia Airport (AMM) -> Ajloun || Amman Queen Alia Airport (AMM) -> Ajloun || Amman Queen Alia Airport (AMM) -> Ajloun"
"Amsterdam","4","Netherlands","Amsterdam","to","Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam"
"Amsterdam Airport Schiphol (AMS)","4","Netherlands","Amsterdam","from","Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam"
"Anadolu transfer","2","Turkey","Istanbul","to","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer"
"Anaheim","18","United States of America","Anaheim|Los Angeles","to","John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim"
"Anantara Bophut Koh Samui Resort","1","Thailand","Anantara Bophut Koh Samui Resort","to","Samui International Airport (USM) -> Anantara Bophut Koh Samui Resort"
"Anapa","2","Russia","Anapa","to","Anapa Vityazevo Airport (AAQ) -> Anapa || Anapa Vityazevo Airport (AAQ) -> Anapa"
"Anapa Vityazevo Airport (AAQ)","2","Russia","Anapa","from","Anapa Vityazevo Airport (AAQ) -> Anapa || Anapa Vityazevo Airport (AAQ) -> Anapa"
"Andermatt","5","Switzerland","Andermatt","to","Zurich Airport (ZRH) -> Andermatt || Zurich Airport (ZRH) -> Andermatt || Zurich Airport (ZRH) -> Andermatt"
"Ängelholm / Angelholm","2","Sweden","Ängelholm / Angelholm","to","Ängelholm Airport (AGH) -> Ängelholm / Angelholm || Ängelholm Airport (AGH) -> Ängelholm / Angelholm"
"Ängelholm Airport (AGH)","4","Sweden","Helsingborg|Ängelholm / Angelholm","from","Ängelholm Airport (AGH) -> Helsingborg || Ängelholm Airport (AGH) -> Helsingborg || Ängelholm Airport (AGH) -> Ängelholm / Angelholm"
"Angthong district","5","Thailand","Angthong district","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Samui International Airport (USM) -> Angthong district"
"Annakil","7","Morocco","Annakil","to","Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil"
"Anogyra","1","Cyprus","Anogyra","to","Larnaca Airport (LCA) -> Anogyra"
