Country,From,To,Type,Pax,Price,Currency,CAT,Transferz,Dottransfers,Talixo,Suntransfers,Alexandra
Cyprus,Larnaca Airport (LCA),Gerasa,Standard class car,3,"€150,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Finikaria,Standard class car,3,"€120,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Armenochori,Standard class car,3,"€114,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Kelaki,Standard class car,3,"€132,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Dierona,Standard class car,3,"€144,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Arakapas,Standard class car,3,"€120,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Odou,Standard class car,3,"€120,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Zoopigi,Standard class car,3,"€180,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Managri,Standard class car,3,"€156,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Alassa,Standard class car,3,"€156,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Trimiklini,Standard class car,3,"€174,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Agios Mamas,Standard class car,3,"€168,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Nicosia,Standard class car,3,"€84,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Dali,Standard class car,3,"€66,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Tseri,Standard class car,3,"€96,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Akaki,Standard class car,3,"€120,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Vyzakia,Standard class car,3,"€132,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Leykara,Standard class car,3,"€90,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Vavatsinia,Standard class car,3,"€90,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Kyperounta,Standard class car,3,"€180,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Kalopanagiotis,Standard class car,3,"€192,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Troodos,Standard class car,3,"€192,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Kakopetria,Standard class car,3,"€186,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Platres,Standard class car,3,"€180,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Olympus,Standard class car,3,"€198,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Kykkos,Standard class car,3,"€228,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Omodos,Standard class car,3,"€216,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Paphos,Standard class car,3,"€180,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Avakas Bay,Standard class car,3,"€276,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Chloraka,Standard class car,3,"€192,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Pegeia,Standard class car,3,"€216,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Tala,Standard class car,3,"€192,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Polis,Standard class car,3,"€240,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Agraka,Standard class car,3,"€264,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Pomos,Standard class car,3,"€270,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Tsada,Standard class car,3,"€192,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Paphos,Standard class car,3,"€42,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Tala,Standard class car,3,"€48,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Chlorakas,Standard class car,3,"€48,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Pegeia,Standard class car,3,"€72,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Tsada,Standard class car,3,"€54,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Pissouri,Standard class car,3,"€60,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Kouklia,Standard class car,3,"€48,00",EUR,,,,,,
