"From";"To";"Price";"Lux";"MV 8 pax";"Sprinter";"SUV";"Electric Standard";"Saloon";"Estate";"Executive";"MPV";"MV 6 pax";"MV 7 pax";"Businessvan 5 pax";"Businessvan 6 pax";"Standard Minibus 13pax";"Standard Minibus 9pax";"Minibus 19 pax";"Coach 30 pax";"Coach 45pax"
"Gelendzhik Airport (GDZ)";"Gelendzhik";"42";"135";"0";"101";"0";"0";"42";"0";"59";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0"
"International Airport Irkutsk (IKT)";"Irkutsk";"44";"165";"0";"135";"0";"0";"44";"0";"74";"0";"0";"0";"0";"165";"0";"0";"0";"0";"0"
"International Airport Irkutsk (IKT)";"Listvyanka";"66";"235";"0";"227";"0";"0";"66";"0";"190";"0";"0";"118";"0";"235";"0";"0";"0";"0";"0"
"International Airport Irkutsk (IKT)";"Tankhoi";"193";"0";"0";"0";"0";"0";"193";"0";"0";"0";"0";"356";"0";"0";"0";"0";"0";"0";"0"
"Ivanovo Yuzhny Airport (IWA)";"Ivanovo";"49";"0";"0";"109";"0";"0";"49";"0";"59";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0"
"Izhevsk Airport (IJK)";"Izhevsk";"29";"0";"0";"109";"0";"0";"29";"0";"76";"0";"0";"81";"0";"0";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Baltiysk";"86";"356";"0";"235";"0";"0";"86";"0";"124";"0";"0";"109";"0";"143";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Gdansk";"218";"0";"0";"0";"0";"0";"218";"0";"0";"0";"0";"302";"0";"0";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Kaliningrad";"0";"202";"0";"151";"0";"0";"0";"0";"76";"0";"135";"0";"0";"0";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Pionerskiy";"54";"252";"0";"192";"0";"0";"54";"0";"108";"0";"0";"91";"0";"118";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Rybachy";"0";"369";"0";"369";"0";"0";"0";"0";"0";"0";"0";"168";"0";"218";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Svetlogorsk";"54";"218";"0";"192";"0";"0";"54";"0";"108";"0";"0";"91";"0";"109";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Warsaw";"302";"0";"0";"0";"0";"0";"302";"0";"0";"0";"0";"329";"0";"0";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Yantarny";"76";"368";"0";"0";"0";"0";"76";"0";"126";"0";"0";"126";"0";"165";"0";"0";"0";"0";"0"
"Kaliningrad Khrabrovo Airport (KGD)";"Zelenogradsk";"15";"260";"0";"178";"0";"0";"15";"0";"76";"0";"0";"72";"0";"118";"0";"0";"0";"0";"0"
"Kazan International Airport (KZN)";"Elabuga";"218";"0";"0";"0";"0";"0";"218";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kazan International Airport (KZN)";"Kazan";"0";"0";"0";"151";"0";"0";"0";"0";"0";"0";"0";"0";"0";"151";"0";"0";"0";"0";"0"
"Kazan International Airport (KZN)";"Naberezhnye Chelny";"218";"0";"0";"0";"0";"0";"218";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kazan International Airport (KZN)";"Nizhnekamsk";"218";"0";"0";"0";"0";"0";"218";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kemerovo International Airport (KEJ)";"Kemerovo";"29";"151";"0";"0";"0";"0";"29";"0";"76";"0";"0";"76";"0";"151";"0";"0";"0";"0";"0"
"Khabarovsk Novy Airport (KHV)";"Khabarovsk";"42";"165";"0";"143";"0";"0";"42";"0";"84";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Khanty-Mansiysk Airport (HMA)";"Khanty-Mansiysk";"25";"0";"0";"93";"0";"0";"25";"0";"0";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0"
"Kirov Pobedilovo Airport (KVX)";"Kirov";"31";"193";"0";"135";"0";"0";"31";"0";"76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kostroma Airport (KMW)";"Kostroma";"29";"0";"0";"0";"0";"0";"42";"0";"0";"0";"0";"56";"0";"0";"0";"0";"0";"0";"0"
"Krasnodar International Airport (KRR)";"Gelendzhik";"185";"0";"0";"0";"0";"0";"185";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Krasnodar International Airport (KRR)";"Krasnodar";"42";"0";"0";"118";"0";"0";"42";"0";"76";"0";"0";"0";"0";"101";"0";"0";"0";"0";"0"
"Krasnoyarsk Yemelyanovo Airport (KJA)";"Krasnoyarsk";"61";"209";"0";"185";"0";"0";"61";"0";"76";"0";"0";"0";"0";"185";"0";"0";"0";"0";"0"
"Kursk Vostochny Airport (URS)";"Kursk";"29";"0";"0";"109";"0";"0";"29";"0";"0";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0"
"Lipetsk Airport (LPK)";"Lipetsk";"29";"0";"0";"0";"0";"0";"29";"0";"82";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Milas–Bodrum International Airport (BJV)";"Bodrum";"70";"0";"0";"0";"0";"0";"70";"0";"0";"70";"0";"0";"70";"0";"110";"0";"0";"0";"0"
"Mineralnye Vody airport (MRV)";"Kislovodsk";"42";"327";"0";"161";"0";"0";"67";"0";"93";"0";"0";"76";"0";"0";"0";"0";"0";"0";"0"
"Mineralnye Vody airport (MRV)";"Mineral'nie Vody";"32";"151";"0";"143";"0";"0";"32";"0";"47";"0";"0";"41";"0";"0";"0";"0";"0";"0";"0"
"Mineralnye Vody airport (MRV)";"Pyatigorsk";"36";"218";"0";"143";"0";"0";"36";"0";"79";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0"
"Moscow Domodedovo International Airport (DME)";"Moscow";"52";"158";"108";"158";"0";"0";"52";"0";"74";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0"
"Moscow Domodedovo International Airport (DME)";"Moscow Sheremetyevo International Airport (SVO)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Domodedovo International Airport (DME)";"Moscow Vnukovo International Airport (VKO)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Domodedovo International Airport (DME)";"Moscow Zhukovsky International Airport (ZIA)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Sheremetyevo International Airport (SVO)";"Moscow";"52";"158";"108";"158";"0";"0";"52";"0";"74";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0"
"Moscow Sheremetyevo International Airport (SVO)";"Moscow Domodedovo International Airport (DME)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Sheremetyevo International Airport (SVO)";"Moscow Vnukovo International Airport (VKO)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Sheremetyevo International Airport (SVO)";"Moscow Zhukovsky International Airport (ZIA)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Sheremetyevo International Airport (SVO)";"Sheraton Moscow Sheremetyevo Airport";"44";"0";"0";"0";"0";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Moscow Vnukovo International Airport (VKO)";"Moscow";"52";"158";"108";"158";"0";"0";"52";"0";"74";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0"
"Moscow Vnukovo International Airport (VKO)";"Moscow Domodedovo International Airport (DME)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Vnukovo International Airport (VKO)";"Moscow Sheremetyevo International Airport (SVO)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Vnukovo International Airport (VKO)";"Moscow Zhukovsky International Airport (ZIA)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Zhukovsky International Airport (ZIA)";"Moscow";"52";"158";"108";"158";"0";"0";"52";"0";"74";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0"
"Moscow Zhukovsky International Airport (ZIA)";"Moscow Domodedovo International Airport (DME)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Zhukovsky International Airport (ZIA)";"Moscow Sheremetyevo International Airport (SVO)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Moscow Zhukovsky International Airport (ZIA)";"Moscow Vnukovo International Airport (VKO)";"70";"174";"162";"174";"0";"0";"70";"0";"95";"0";"0";"0";"0";"184";"0";"0";"0";"0";"0"
"Murmansk Airport (MMK)";"Murmansk";"32";"185";"0";"143";"0";"0";"32";"0";"59";"0";"0";"0";"0";"143";"0";"0";"0";"0";"0"
"Nizhny Novgorod International Airport (GOJ)";"Nizhny Novgorod";"44";"193";"0";"126";"0";"0";"44";"0";"66";"0";"0";"0";"0";"165";"0";"0";"0";"0";"0"
"Novokuznetsk Airport (NOZ)";"Novokuznetsk";"32";"193";"0";"118";"0";"0";"49";"0";"61";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0"
"Novosibirsk Tolmachevo Airport (OVB)";"Novosibirsk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118";"0";"0";"0";"0";"0"
"Omsk Tsentralny Airport (OMS)";"Omsk";"44";"166";"0";"0";"0";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Orenburg Central Airport (REN)";"Orenburg";"29";"0";"0";"0";"0";"0";"29";"0";"67";"0";"0";"66";"0";"0";"0";"0";"0";"0";"0"
"Penza Airport (PEZ)";"Penza";"47";"0";"0";"151";"0";"0";"47";"0";"0";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0"
"Perm International Airport (PEE)";"Perm";"31";"151";"0";"0";"0";"0";"42";"0";"67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Petropavlovsk-Kamchatsky Airport (PKC)";"Petropavlovsk-Kamchatsky";"91";"0";"0";"0";"0";"0";"91";"0";"178";"0";"0";"126";"0";"0";"0";"0";"0";"0";"0"
"Petrozavodsk Airport (PES)";"Petrozavodsk";"32";"0";"0";"0";"0";"0";"32";"0";"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pskov Airport (PKV)";"Pskov";"29";"0";"0";"160";"0";"0";"29";"0";"78";"0";"0";"0";"0";"168";"0";"0";"0";"0";"0"
"Rostov-on-Don Platov Airport (ROV)";"Azov";"67";"0";"0";"0";"0";"0";"67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rostov-on-Don Platov Airport (ROV)";"Bataysk";"61";"0";"0";"0";"0";"0";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rostov-on-Don Platov Airport (ROV)";"Novocherkassk";"67";"0";"0";"0";"0";"0";"67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
