"rowId","country","routeFrom","routeTo","vehicleType","pax","price","currency","source","notes"
"cmm3d3nz3001vk8ppcnsxzfu0","China","Hong Kong Airport (HKG)","Tai Po","Business class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3001wk8pp0gx7nh19","China","Hong Kong Airport (HKG)","Tai Po","Businessvan 6 pax","6","130","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3001xk8pp57rwzcwa","China","Hong Kong Airport (HKG)","Tai Po","Standard class car","3","91","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3001yk8ppnmsw1wwm","China","Hong Kong Airport (HKG)","Tai Po","Standard minivan 6 pax","6","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3001zk8ppcrj0vzm3","China","Hong Kong Airport (HKG)","Tuen Mun","Business class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30020k8ppfq3l9q9q","China","Hong Kong Airport (HKG)","Tuen Mun","Businessvan 6 pax","6","130","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30021k8pp78856zl3","China","Hong Kong Airport (HKG)","Tuen Mun","Standard class car","3","91","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30022k8ppmf64kon2","China","Hong Kong Airport (HKG)","Tuen Mun","Standard minivan 6 pax","6","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30023k8ppy09thd4p","China","Hong Kong Airport (HKG)","Wan Chai district, Hong Kong","Business class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30024k8ppwdjmu51j","China","Hong Kong Airport (HKG)","Wan Chai district, Hong Kong","Standard minivan 6 pax","6","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30025k8pphh9nj8bb","China","Hong Kong Airport (HKG)","Wong Tai Sin","Business class car","3","68","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30026k8ppbrbn8d3b","China","Hong Kong Airport (HKG)","Wong Tai Sin","Businessvan 6 pax","6","82","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30027k8ppiwuz5eg1","China","Hong Kong Airport (HKG)","Wong Tai Sin","Standard class car","3","66","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30028k8ppa4th5nfr","China","Hong Kong Airport (HKG)","Wong Tai Sin","Standard minivan 6 pax","6","70","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30029k8pph7ur6f74","China","Hong Kong Airport (HKG)","Yuen Long","Business class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ak8ppzf4buf6g","China","Hong Kong Airport (HKG)","Yuen Long","Businessvan 6 pax","6","130","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002bk8ppvv9yeaun","China","Hong Kong Airport (HKG)","Yuen Long","Standard class car","3","91","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ck8ppvxtiscu3","China","Hong Kong Airport (HKG)","Yuen Long","Standard minivan 6 pax","6","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002dk8ppj0ireonu","China","Shanghai Hongqiao International Airport (SHA)","Shanghai city center","Business class car","3","60","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ek8pp66j3zke2","China","Shanghai Hongqiao International Airport (SHA)","Shanghai city center","Businessvan 6 pax","6","98","EUR","base_price_xlsx","pax:6"
