"name","count","countries","cities","roles","samples","etoStatus","category"
"Moscow Domodedovo International Airport (DME)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow","missing","airport"
"Moscow Vnukovo International Airport (VKO)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Vnukovo International Airport (VKO) -> Moscow || Moscow Vnukovo International Airport (VKO) -> Moscow || Moscow Vnukovo International Airport (VKO) -> Moscow","missing","airport"
"Moscow Zhukovsky International Airport (ZIA)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Zhukovsky International Airport (ZIA) -> Moscow || Moscow Zhukovsky International Airport (ZIA) -> Moscow || Moscow Zhukovsky International Airport (ZIA) -> Moscow","missing","airport"
"Kaliningrad Khrabrovo Airport (KGD)","41","Russia","Baltiysk|Gdansk|Kaliningrad|Pionerskiy|Rybachy|Svetlogorsk|Warsaw|Yantarny|Zelenogradsk","from","Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk","missing","airport"
"Koh Samui - Mae Nam Port (Surat Thani )","41","Thailand","Angthong district|Bang Por|Bangrak Beach|Bangrak Pier|Big Buddha|Bophut Beach|Chaweng, Samui, Thailand|Choengmom beach and gardens|Conrad Hotel Samui|Don Sak Pier, Surat Thani|Element Boutique|Hua Thanon, Samui|Ko Pha-ngan District, Surat Thani|Koh Phangan (Closest Pier to Embark) Thailand|Koh Samui - Mae Nam Port(Surat Thani )|Lamai Thailand|Lipa-Noi|Mae Nam Ko Samui Thailand|Nathon-Lipa Thailand|Phuket International Airport (HKT)|Samui International Airport (USM)|Samui Pier Thailand|Taling Ngam Thailand","from|to","Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por","missing","port"
"Miami airport (MIA)","36","United States of America","Fort Lauderdale City Florida USA|Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Miami Beach|Miami airport (MIA)|West Palm Beach Airport (PBI)|West Palm Beach Florida USA","from|to","Miami airport (MIA) -> Fort Lauderdale City Florida USA || Miami airport (MIA) -> Fort Lauderdale City Florida USA || Miami airport (MIA) -> Fort Lauderdale City Florida USA","missing","airport"
"West Palm Beach Airport (PBI)","36","United States of America","Fort Lauderdale City Florida USA|Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Miami airport (MIA)|Port Everglades|West Palm Beach Airport (PBI)|West Palm Beach Florida USA","from|to","West Palm Beach Airport (PBI) -> Fort Lauderdale City Florida USA || West Palm Beach Airport (PBI) -> Fort Lauderdale City Florida USA || West Palm Beach Airport (PBI) -> Fort Lauderdale City Florida USA","missing","airport"
"Abu Dhabi International Airport (AUH)","35","United Arab Emirates","Abu Dhabi|Abu Dhabi International Airport (AUH)|Ajman|Al Ain|Al Ruwais|Al Sila|Downtown Dubai|Dubai international Airport (DXB)|Fujairah|Ras Al Khaimah|Sharjah|Umm Al Quwain","from|to","Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi","missing","airport"
"Chiang Mai International Airport (CNX)","34","Thailand","Chiang Mai|Chiang Mai International Airport (CNX)|Chiang Mai Outskirts|Chiang Mai Train Station|Doi Saket district|Doi Suthep Temple|Hang Dong District|Lampang District|Lampoon|Mae Rim district|Mae-Hongsorn district|Maetang district|Phitsanulok|Samoeng district|Sukhothai disctrict|mae salong district","from|to","Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai","missing","airport"
"Tokyo Narita Airport (NRT)","28","Japan","Disney Area, Tokyo|Gunma district|Kamakura|Karuizawa|Mount Fuji, Hakone|Tokyo (within 23 wards)|Tokyo Narita Airport (NRT)|Yokohama City|Yokohama port","from|to","Tokyo Narita Airport (NRT) -> Disney Area, Tokyo || Tokyo Narita Airport (NRT) -> Disney Area, Tokyo || Tokyo Narita Airport (NRT) -> Disney Area, Tokyo","missing","airport"
"Istanbul Airport (IST)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST)","missing","airport"
"Istanbul Sabiha Gokcen Airport (SAW)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)","missing","airport"
"Tokyo Haneda Airport (HND)","25","Japan","Disney Area, Tokyo|Gunma district|Kamakura|Karuizawa|Mount Fuji, Hakone|Tokyo (within 23 wards)|Tokyo Haneda Airport (HND)|Yokohama port","from|to","Tokyo Haneda Airport (HND) -> Disney Area, Tokyo || Tokyo Haneda Airport (HND) -> Disney Area, Tokyo || Tokyo Haneda Airport (HND) -> Disney Area, Tokyo","missing","airport"
