"name","count","countries","cities","roles","samples","etoStatus","category"
"Nizhnekamsk","7","Russia","Nizhnekamsk","to","Elabuga Begishevo Airport (NBC) -> Nizhnekamsk || Elabuga Begishevo Airport (NBC) -> Nizhnekamsk || Elabuga Begishevo Airport (NBC) -> Nizhnekamsk","missing","city"
"Ouahat Sidi Brahim","7","Morocco","Ouahat Sidi Brahim","to","Marrakesh Menara Airport (RAK) -> Ouahat Sidi Brahim || Marrakesh Menara Airport (RAK) -> Ouahat Sidi Brahim || Marrakesh Menara Airport (RAK) -> Ouahat Sidi Brahim","missing","city"
"Pa Khlok, Phuket","7","Thailand","Pa Khlok, Phuket","to","Phuket International Airport (HKT) -> Pa Khlok, Phuket || Phuket International Airport (HKT) -> Pa Khlok, Phuket || Phuket International Airport (HKT) -> Pa Khlok, Phuket","missing","city"
"Palmeraie","7","Morocco","Palmeraie","to","Marrakesh Menara Airport (RAK) -> Palmeraie || Marrakesh Menara Airport (RAK) -> Palmeraie || Marrakesh Menara Airport (RAK) -> Palmeraie","missing","city"
"Pargolovo","7","Russia","Pargolovo","to","Saint-Petersburg Pulkovo Airport (LED) -> Pargolovo || Saint-Petersburg Pulkovo Airport (LED) -> Pargolovo || Saint-Petersburg Pulkovo Airport (LED) -> Pargolovo","missing","city"
"Phuket town","7","Thailand","Phuket town","to","Phuket International Airport (HKT) -> Phuket town || Phuket International Airport (HKT) -> Phuket town || Phuket International Airport (HKT) -> Phuket town","missing","city"
"Pushkin","7","Russia","Pushkin","to","Saint-Petersburg Pulkovo Airport (LED) -> Pushkin || Saint-Petersburg Pulkovo Airport (LED) -> Pushkin || Saint-Petersburg Pulkovo Airport (LED) -> Pushkin","missing","city"
"Ratsada, Mueang, Phuket","7","Thailand","Ratsada, Mueang, Phuket","to","Phuket International Airport (HKT) -> Ratsada, Mueang, Phuket || Phuket International Airport (HKT) -> Ratsada, Mueang, Phuket || Phuket International Airport (HKT) -> Ratsada, Mueang, Phuket","missing","city"
"Riverside","7","United States of America","Riverside","to","Long Beach Airport (LGB) -> Riverside || Long Beach Airport (LGB) -> Riverside || Long Beach Airport (LGB) -> Riverside","missing","city"
"Samara","7","Russia","Samara","to","Samara Kurumoch International Airport (KUF) -> Samara || Samara Kurumoch International Airport (KUF) -> Samara || Samara Kurumoch International Airport (KUF) -> Samara","missing","city"
"San Clemente","7","United States of America","San Clemente","to","John Wayne Airport (SNA) -> San Clemente || John Wayne Airport (SNA) -> San Clemente || John Wayne Airport (SNA) -> San Clemente","missing","city"
"San Clemente+Mission Viejo+Lake Forest","7","United States of America","San Clemente+Mission Viejo+Lake Forest","to","Long Beach Airport (LGB) -> San Clemente+Mission Viejo+Lake Forest || Long Beach Airport (LGB) -> San Clemente+Mission Viejo+Lake Forest || Long Beach Airport (LGB) -> San Clemente+Mission Viejo+Lake Forest","missing","city"
"Surgut","7","Russia","Surgut","to","Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut","missing","city"
"Tameslouht","7","Morocco","Tameslouht","to","Marrakesh Menara Airport (RAK) -> Tameslouht || Marrakesh Menara Airport (RAK) -> Tameslouht || Marrakesh Menara Airport (RAK) -> Tameslouht","missing","city"
"Tasoultante","7","Morocco","Tasoultante","to","Marrakesh Menara Airport (RAK) -> Tasoultante || Marrakesh Menara Airport (RAK) -> Tasoultante || Marrakesh Menara Airport (RAK) -> Tasoultante","missing","city"
"Vsevolozhsk","7","Russia","Vsevolozhsk","to","Saint-Petersburg Pulkovo Airport (LED) -> Vsevolozhsk || Saint-Petersburg Pulkovo Airport (LED) -> Vsevolozhsk || Saint-Petersburg Pulkovo Airport (LED) -> Vsevolozhsk","missing","city"
"Yerevan","7","Armenia","Yerevan","to","Yerevan Zvartnots Airport (EVN) -> Yerevan || Yerevan Zvartnots Airport (EVN) -> Yerevan || Yerevan Zvartnots Airport (EVN) -> Yerevan","missing","city"
"Abu Dhabi","6","United Arab Emirates","Abu Dhabi","to","Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi","missing","city"
"Ajloun","6","Jordan","Ajloun","to","Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun","missing","city"
"Ao Nang, Krabi","6","Thailand","Ao Nang, Krabi","to","Phuket International Airport (HKT) -> Ao Nang, Krabi || Phuket International Airport (HKT) -> Ao Nang, Krabi || Phuket International Airport (HKT) -> Ao Nang, Krabi","missing","city"
"Aqaba","6","Jordan","Aqaba","to","Amman Civil Airport (Marka) (ADJ) -> Aqaba || Amman Civil Airport (Marka) (ADJ) -> Aqaba || Amman Civil Airport (Marka) (ADJ) -> Aqaba","missing","city"
"Baltiysk","6","Russia","Baltiysk","to","Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk","missing","city"
"Bang Por","6","Thailand","Bang Por","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por || Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por || Phuket International Airport (HKT) -> Bang Por","missing","city"
"Choeng Thale","6","Thailand","Choeng Thale","to","Phuket International Airport (HKT) -> Choeng Thale || Phuket International Airport (HKT) -> Choeng Thale || Phuket International Airport (HKT) -> Choeng Thale","missing","city"
"Costa Adeje","6","Spain","Costa Adeje","to","Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje","missing","city"
"Dana","6","Jordan","Dana","to","Amman Civil Airport (Marka) (ADJ) -> Dana || Amman Civil Airport (Marka) (ADJ) -> Dana || Amman Civil Airport (Marka) (ADJ) -> Dana","missing","city"
"Dead sea","6","Jordan","Dead sea","to","Amman Civil Airport (Marka) (ADJ) -> Dead sea || Amman Civil Airport (Marka) (ADJ) -> Dead sea || Amman Civil Airport (Marka) (ADJ) -> Dead sea","missing","city"
"Erawan National Park (Kanchanaburi)","6","Thailand","Erawan National Park (Kanchanaburi)","to","Bangkok Don Muang Airport (DMK) -> Erawan National Park (Kanchanaburi) || Bangkok Don Muang Airport (DMK) -> Erawan National Park (Kanchanaburi) || Bangkok Suvarnabhumi Airport (BKK) -> Erawan National Park (Kanchanaburi)","missing","city"
"Fujairah","6","United Arab Emirates","Fujairah","to","Abu Dhabi International Airport (AUH) -> Fujairah || Abu Dhabi International Airport (AUH) -> Fujairah || Abu Dhabi International Airport (AUH) -> Fujairah","missing","city"
"Ibrid","6","Jordan","Ibrid","to","Amman Civil Airport (Marka) (ADJ) -> Ibrid || Amman Civil Airport (Marka) (ADJ) -> Ibrid || Amman Civil Airport (Marka) (ADJ) -> Ibrid","missing","city"
"Istanbul","6","Turkey","Istanbul","from","Istanbul -> Bursa daily trip || Istanbul -> Bursa daily trip || Istanbul -> Disposal up to 8 hours / 100 km within Istanbul","missing","city"
"Jerash","6","Jordan","Jerash","to","Amman Civil Airport (Marka) (ADJ) -> Jerash || Amman Civil Airport (Marka) (ADJ) -> Jerash || Amman Civil Airport (Marka) (ADJ) -> Jerash","missing","city"
"Kanchanaburi","6","Thailand","Kanchanaburi","to","Bangkok Don Muang Airport (DMK) -> Kanchanaburi || Bangkok Don Muang Airport (DMK) -> Kanchanaburi || Bangkok Suvarnabhumi Airport (BKK) -> Kanchanaburi","missing","city"
"Karak","6","Jordan","Karak","to","Amman Civil Airport (Marka) (ADJ) -> Karak || Amman Civil Airport (Marka) (ADJ) -> Karak || Amman Civil Airport (Marka) (ADJ) -> Karak","missing","city"
"Keelung City","6","Taiwan","Keelung City","to","Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City","missing","city"
"Khao Sok National Park, Surat Thani","6","Thailand","Khao Sok National Park, Surat Thani","to","Phuket International Airport (HKT) -> Khao Sok National Park, Surat Thani || Phuket International Airport (HKT) -> Khao Sok National Park, Surat Thani || Phuket International Airport (HKT) -> Khao Sok National Park, Surat Thani","missing","city"
"Khao Yai National Park","6","Thailand","Khao Yai National Park","to","Bangkok Don Muang Airport (DMK) -> Khao Yai National Park || Bangkok Don Muang Airport (DMK) -> Khao Yai National Park || Bangkok Suvarnabhumi Airport (BKK) -> Khao Yai National Park","missing","city"
"King Hussain Bridge","6","Jordan","King Hussain Bridge","to","Amman Civil Airport (Marka) (ADJ) -> King Hussain Bridge || Amman Civil Airport (Marka) (ADJ) -> King Hussain Bridge || Amman Civil Airport (Marka) (ADJ) -> King Hussain Bridge","missing","city"
"Kislovodsk","6","Russia","Kislovodsk","to","Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk","missing","city"
"Korat City (Nakhon Ratchasima)","6","Thailand","Korat City (Nakhon Ratchasima)","to","Bangkok Don Muang Airport (DMK) -> Korat City (Nakhon Ratchasima) || Bangkok Don Muang Airport (DMK) -> Korat City (Nakhon Ratchasima) || Bangkok Suvarnabhumi Airport (BKK) -> Korat City (Nakhon Ratchasima)","missing","city"
"Krasnoyarsk","6","Russia","Krasnoyarsk","to","Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk || Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk || Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk","missing","city"
"Kutaisi","6","Georgia","Kutaisi","to","David the Builder Kutaisi Airport (KUT) -> Kutaisi || David the Builder Kutaisi Airport (KUT) -> Kutaisi || David the Builder Kutaisi Airport (KUT) -> Kutaisi","missing","city"
"Listvyanka","6","Russia","Listvyanka","to","International Airport Irkutsk (IKT) -> Listvyanka || International Airport Irkutsk (IKT) -> Listvyanka || International Airport Irkutsk (IKT) -> Listvyanka","missing","city"
"Maan","6","Jordan","Maan","to","Amman Civil Airport (Marka) (ADJ) -> Maan || Amman Civil Airport (Marka) (ADJ) -> Maan || Amman Civil Airport (Marka) (ADJ) -> Maan","missing","city"
"Madaba","6","Jordan","Madaba","to","Amman Civil Airport (Marka) (ADJ) -> Madaba || Amman Civil Airport (Marka) (ADJ) -> Madaba || Amman Civil Airport (Marka) (ADJ) -> Madaba","missing","city"
"Mafraq","6","Jordan","Mafraq","to","Amman Civil Airport (Marka) (ADJ) -> Mafraq || Amman Civil Airport (Marka) (ADJ) -> Mafraq || Amman Civil Airport (Marka) (ADJ) -> Mafraq","missing","city"
"Malaga","6","Spain","Malaga","to","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga","missing","city"
"New Taipei","6","Taiwan","New Taipei","to","Taipei Songshan Airport (TSA) -> New Taipei || Taipei Songshan Airport (TSA) -> New Taipei || Taipei Songshan Airport (TSA) -> New Taipei","missing","city"
"Novokuznetsk","6","Russia","Novokuznetsk","to","Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk","missing","city"
