"name","count","countries","cities","roles","samples","etoStatus"
"Antalya Airport (AYT)","182","Turkey","Adrasan|Aksu (Antalya)|Alanya|Alara|Antalya city centre district|Antalya cruise port Akdeniz|Avsallar|Beldibi town, Kemer|Belek|Bogazkent / Boğazkent|Camyuva / Çamyuva|Cirali / Çıralı (Kemer, Antlaya)|Colakli / Çolaklı|Denizyaka|Evrenseki|Fethiye|Goynuk / Göynük|Gundogdu / Gündoğdu|Incekum|Kadriye|Kalkan|Kargıcak|Kas / Kaş|Kemer, Antalia|Kestel|Kiris / Kiriş|Kizilagac / Kızılağaç|Kizilot|Konakli|Konyaalti district, Antalya|Kumkoy / Kumköy|Kundu beach|Lara beach|Lyka World Links Golf, Antalya|Mahmutlar|Manavgat city|Oba|Okurcalar|Payallar|Side district|Sorgun|Tekirova|Titreyengol lake|Tosmur|Turkler / Türkler","from","Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan","present_exact"
"Antalya city centre district","4","Turkey","Antalya city centre district","to","Antalya Airport (AYT) -> Antalya city centre district || Antalya Airport (AYT) -> Antalya city centre district || Antalya Airport (AYT) -> Antalya city centre district","present_exact"
"Antalya cruise port Akdeniz","3","Turkey","Antalya cruise port Akdeniz","to","Antalya Airport (AYT) -> Antalya cruise port Akdeniz || Antalya Airport (AYT) -> Antalya cruise port Akdeniz || Antalya Airport (AYT) -> Antalya cruise port Akdeniz","present_exact"
"Ao Luek District, Krabi","6","Thailand","Ao Luek District, Krabi","to","Phuket International Airport (HKT) -> Ao Luek District, Krabi || Phuket International Airport (HKT) -> Ao Luek District, Krabi || Phuket International Airport (HKT) -> Ao Luek District, Krabi","present_exact"
"Ao Nam Mao, Krabi","2","Thailand","Ao Nam Mao, Krabi","to","Phuket International Airport (HKT) -> Ao Nam Mao, Krabi || Phuket International Airport (HKT) -> Ao Nam Mao, Krabi","present_exact"
"Ao Nang Beach","1","Thailand","Ao Nang Beach","to","Krabi International Airport (KBV) -> Ao Nang Beach","present_exact"
"Ao Nang, Krabi","6","Thailand","Ao Nang, Krabi","to","Phuket International Airport (HKT) -> Ao Nang, Krabi || Phuket International Airport (HKT) -> Ao Nang, Krabi || Phuket International Airport (HKT) -> Ao Nang, Krabi","present_exact"
"Ao Thalane Bay, Krabi","2","Thailand","Ao Thalane Bay, Krabi","to","Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi || Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi","present_exact"
"Aqaba","6","Jordan","Aqaba","to","Amman Civil Airport (Marka) (ADJ) -> Aqaba || Amman Civil Airport (Marka) (ADJ) -> Aqaba || Amman Civil Airport (Marka) (ADJ) -> Aqaba","present_exact"
"Arakapas","1","Cyprus","Arakapas","to","Larnaca Airport (LCA) -> Arakapas","present_exact"
"Åre / Are","1","Sweden","Åre / Are","to","Östersund Åre Airport (OSD) -> Åre / Are","present_exact"
"Arendal","1","Norway","Arendal","to","Oslo Gardermoen Airport (OSL) -> Arendal","present_exact"
