"name","count","countries","cities","roles","samples","etoStatus"
"Laem Khuat Pier, Krabi","2","Thailand","Laem Khuat Pier, Krabi","to","Phuket International Airport (HKT) -> Laem Khuat Pier, Krabi || Phuket International Airport (HKT) -> Laem Khuat Pier, Krabi","present_exact"
"Laem Set, Koh Samui, Surat Thani","3","Thailand","Laem Set, Koh Samui, Surat Thani","to","Samui International Airport (USM) -> Laem Set, Koh Samui, Surat Thani || Samui International Airport (USM) -> Laem Set, Koh Samui, Surat Thani || Samui International Airport (USM) -> Laem Set, Koh Samui, Surat Thani","present_exact"
"Laguna Beach","28","United States of America","Laguna Beach","to","John Wayne Airport (SNA) -> Laguna Beach || John Wayne Airport (SNA) -> Laguna Beach || John Wayne Airport (SNA) -> Laguna Beach","present_exact"
"Lahore","7","Pakistan","Lahore","to","Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore","present_exact"
"Lahore Allama Iqbal International Airport (LHE)","7","Pakistan","Lahore","from","Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore","present_exact"
"Lahti","3","Finland","Lahti","to","Helsinki Vantaa airport (HEL) -> Lahti || Helsinki Vantaa airport (HEL) -> Lahti || Helsinki Vantaa airport (HEL) -> Lahti","present_exact"
"Lake Forest, Mission Viejo","7","United States of America","Lake Forest, Mission Viejo","to","John Wayne Airport (SNA) -> Lake Forest, Mission Viejo || John Wayne Airport (SNA) -> Lake Forest, Mission Viejo || John Wayne Airport (SNA) -> Lake Forest, Mission Viejo","present_exact"
"Lamai Thailand","5","Thailand","Lamai Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Lamai Thailand || Samui International Airport (USM) -> Lamai Thailand || Samui International Airport (USM) -> Lamai Thailand","present_exact"
"Lampang District","3","Thailand","Lampang District","to","Chiang Mai International Airport (CNX) -> Lampang District || Chiang Mai International Airport (CNX) -> Lampang District || Chiang Mai International Airport (CNX) -> Lampang District","present_exact"
"Lampoon","3","Thailand","Lampoon","to","Chiang Mai International Airport (CNX) -> Lampoon || Chiang Mai International Airport (CNX) -> Lampoon || Chiang Mai International Airport (CNX) -> Lampoon","present_exact"
"Landskrona","1","Sweden","Landskrona","to","Malmö Sturup Airport (MMX) -> Landskrona","present_exact"
"Langhus","1","Norway","Langhus","to","Oslo Gardermoen Airport (OSL) -> Langhus","present_exact"
"Lappeenranta","3","Finland","Lappeenranta","to","Helsinki Vantaa airport (HEL) -> Lappeenranta || Helsinki Vantaa airport (HEL) -> Lappeenranta || Helsinki Vantaa airport (HEL) -> Lappeenranta","present_exact"
"Lara beach","3","Turkey","Lara beach","to","Antalya Airport (AYT) -> Lara beach || Antalya Airport (AYT) -> Lara beach || Antalya Airport (AYT) -> Lara beach","present_exact"
"Larnaca","2","Cyprus","Larnaca","to","Larnaca Airport (LCA) -> Larnaca || Paphos Airport (PFO) -> Larnaca","present_exact"
"Larnaca Airport (LCA)","69","Cyprus","Agios Mamas|Agraka|Agros|Akaki|Akrotiri|Alassa|Anogyra|Arakapas|Armenochori|Asomatos|Avakas Bay|Avdimou|Avgorou|Ayia Napa|Chloraka|City of Dream|Dali|Derynia|Dierona|Episkopi|Erimi|Fasoula|Finikaria|Gerasa|Ipsonas|Kakopetria|Kalo Chorio Limassol|Kalopanagiotis|Kelaki|Kykkos|Kyperounta|Larnaca|Leykara|Limassol|Liopetri|Managri|Mazotos|Nicosia|Odou|Olympus|Omodos|Omonia|Orchid|Palodia|Paphos|Paralimni|Paramali|Paramytha|Pegeia|Pissouri|Platres|Polemidia|Polis|Pomos|Protaras|Sotira|Tala|Tersefanou|Trachoni|Trimiklini|Troodos|Tsada|Tseri|Vavatsinia|Vyzakia|Xylofagou|Zakaki|Zigi|Zoopigi","from","Larnaca Airport (LCA) -> Agios Mamas || Larnaca Airport (LCA) -> Agraka || Larnaca Airport (LCA) -> Agros","present_exact"
"Larvik","1","Norway","Larvik","to","Oslo Gardermoen Airport (OSL) -> Larvik","present_exact"
"Las Palmas de Gran Canaria","4","Spain","Las Palmas de Gran Canaria","to","Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria","present_exact"
"Las Vegas","25","United States of America","Las Vegas|Los Angeles","to","John Wayne Airport (SNA) -> Las Vegas || John Wayne Airport (SNA) -> Las Vegas || John Wayne Airport (SNA) -> Las Vegas","present_exact"
"Las Vegas McCarran Airport (LAS)","1","United States of America","Las Vegas","from","Las Vegas McCarran Airport (LAS) -> Las Vegas","present_exact"
"Lehtojärvi","2","Finland","Lehtojärvi","to","Rovaniemi Airport (RVN) -> Lehtojärvi || Rovaniemi Airport (RVN) -> Lehtojärvi","present_exact"
"Leykara","1","Cyprus","Leykara","to","Larnaca Airport (LCA) -> Leykara","present_exact"
"Lidingö","2","Sweden","Lidingö","to","Stockholm Arlanda Airport (ARN) -> Lidingö || Stockholm Arlanda Airport (ARN) -> Lidingö","present_exact"
"Lillehammer","1","Norway","Lillehammer","to","Oslo Gardermoen Airport (OSL) -> Lillehammer","present_exact"
"Lillestrøm","1","Norway","Lillestrøm","to","Oslo Gardermoen Airport (OSL) -> Lillestrøm","present_exact"
"Limassol","2","Cyprus","Limassol","to","Larnaca Airport (LCA) -> Limassol || Paphos Airport (PFO) -> Limassol","present_exact"
"Linköping","1","Sweden","Linköping","to","Linköping Airport (LPI) -> Linköping","present_exact"
"Linköping Airport (LPI)","1","Sweden","Linköping","from","Linköping Airport (LPI) -> Linköping","present_exact"
"Liopetri","1","Cyprus","Liopetri","to","Larnaca Airport (LCA) -> Liopetri","present_exact"
"Lipa-Noi","7","Thailand","Lipa-Noi","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Lipa-Noi || Koh Samui - Mae Nam Port (Surat Thani ) -> Lipa-Noi || Samui International Airport (USM) -> Lipa-Noi","present_exact"
"Lipetsk","2","Russia","Lipetsk","to","Lipetsk Airport (LPK) -> Lipetsk || Lipetsk Airport (LPK) -> Lipetsk","present_exact"
"Lipetsk Airport (LPK)","2","Russia","Lipetsk","from","Lipetsk Airport (LPK) -> Lipetsk || Lipetsk Airport (LPK) -> Lipetsk","present_exact"
"Lisbon","1","Portugal","Lisbon","to","Lisbon Airport (LIS) -> Lisbon","present_exact"
"Lisbon Airport (LIS)","1","Portugal","Lisbon","from","Lisbon Airport (LIS) -> Lisbon","present_exact"
"Listvyanka","6","Russia","Listvyanka","to","International Airport Irkutsk (IKT) -> Listvyanka || International Airport Irkutsk (IKT) -> Listvyanka || International Airport Irkutsk (IKT) -> Listvyanka","present_exact"
"Livingstone","1","Zambia","Livingstone","to","Harry Mwanga Nkumbula International Airport (LVI) -> Livingstone","present_exact"
"London City Airport (LCY)","24","United Kingdom","London East|London North|London North-West|London South-East|London South-West|London West","from","London City Airport (LCY) -> London East || London City Airport (LCY) -> London East || London City Airport (LCY) -> London East","present_exact"
"London City Center","4","United Kingdom","London City Center","to","London Heathrow Airport (LHR) -> London City Center || London Heathrow Airport (LHR) -> London City Center || London Heathrow Airport (LHR) -> London City Center","present_exact"
"London East","12","United Kingdom","London East","to","London City Airport (LCY) -> London East || London City Airport (LCY) -> London East || London City Airport (LCY) -> London East","present_exact"
"London Gatwick Airport (LGW)","28","United Kingdom","London East|London Gatwick Airport (LGW)|London North|London North-West|London South-East|London South-West|London West","from|to","London Gatwick Airport (LGW) -> London East || London Gatwick Airport (LGW) -> London East || London Gatwick Airport (LGW) -> London East","present_exact"
"London Heathrow Airport (LHR)","48","United Kingdom","Brighton|London City Center|London East|London Gatwick Airport (LGW)|London North|London North-West|London South-East|London South-West|London West|Portsmouth|Reading|Southhampton","from","London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton","present_exact"
"London North","12","United Kingdom","London North","to","London City Airport (LCY) -> London North || London City Airport (LCY) -> London North || London City Airport (LCY) -> London North","present_exact"
"London North-West","12","United Kingdom","London North-West","to","London City Airport (LCY) -> London North-West || London City Airport (LCY) -> London North-West || London City Airport (LCY) -> London North-West","present_exact"
"London South-East","12","United Kingdom","London South-East","to","London City Airport (LCY) -> London South-East || London City Airport (LCY) -> London South-East || London City Airport (LCY) -> London South-East","present_exact"
"London South-West","12","United Kingdom","London South-West","to","London City Airport (LCY) -> London South-West || London City Airport (LCY) -> London South-West || London City Airport (LCY) -> London South-West","present_exact"
"London West","12","United Kingdom","London West","to","London City Airport (LCY) -> London West || London City Airport (LCY) -> London West || London City Airport (LCY) -> London West","present_exact"
"Long Beach","14","United States of America","Long Beach","to","John Wayne Airport (SNA) -> Long Beach || John Wayne Airport (SNA) -> Long Beach || John Wayne Airport (SNA) -> Long Beach","present_exact"
"Long Beach Airport (LGB)","287","United States of America","Anaheim|Bakersfield|Beverly Hills|Burbank|Calabasas|Chula Vista|El Cajon|Fresno|Glendale|Hollywood, California|Inglewood|Jurupa Valley|La Crescenta-Montrose|Laguna Beach|Las Vegas|Long Beach|Los Angeles Downtown|Malibu|Montrose|Ojai+ Oak View|Ontario|Orange|Oxnard+Ventura+Camarillo|Palm Springs+Coachella|Pasadena|Pomona|Riverside|San Bernardino|San Clemente+Mission Viejo+Lake Forest|San Diego|San Fernando|San Francisco|San Marcos+Rancho Santa Fe+Escondido|Santa Ana+Irvine+Huntington Beach|Santa Barbara+Carpinteria|Santa Clarita|Santa Monica|Sunland+Tujunga|Thousand Oaks+Simi Valley|Torrance|Universal City","from","Long Beach Airport (LGB) -> Anaheim || Long Beach Airport (LGB) -> Anaheim || Long Beach Airport (LGB) -> Anaheim","present_exact"
"Long Beach, California","10","United States of America","Long Beach, California|Los Angeles","to","Port of Los Angeles -> Long Beach, California || Port of Los Angeles -> Long Beach, California || Port of Los Angeles -> Long Beach, California","present_exact"
"Lørenskog","1","Norway","Lørenskog","to","Oslo Gardermoen Airport (OSL) -> Lørenskog","present_exact"
"Los Angeles","7","United States of America","Las Vegas","from","Los Angeles -> Las Vegas || Los Angeles -> Las Vegas || Los Angeles -> Las Vegas","present_exact"
"Los Angeles Airport (LAX)","132","United States of America","Burbank|Calabasas|Glendale|Inglewood|Jurupa Valley|La Crescenta-Montrose|Laguna Beach|Los Angeles|Malibu|Ontario|Orange|Pasadena|Pomona|San Bernardino|San Fernando|Torrance|Universal City","from","Los Angeles Airport (LAX) -> Burbank || Los Angeles Airport (LAX) -> Burbank || Los Angeles Airport (LAX) -> Burbank","present_exact"
"Los Angeles Downtown","29","United States of America","Los Angeles|Los Angeles Downtown","to","Los Angeles Airport (LAX) -> Los Angeles Downtown || Los Angeles Airport (LAX) -> Los Angeles Downtown || Los Angeles Airport (LAX) -> Los Angeles Downtown","present_exact"
"Los Angeles Van Nuys Airport (VNY)","7","United States of America","Los Angeles Downtown","from","Los Angeles Van Nuys Airport (VNY) -> Los Angeles Downtown || Los Angeles Van Nuys Airport (VNY) -> Los Angeles Downtown || Los Angeles Van Nuys Airport (VNY) -> Los Angeles Downtown","present_exact"
"Lovina Beach","1","Indonesia","Lovina Beach","to","Denpasar Ngurah Rai Airport (DPS) -> Lovina Beach","present_exact"
"Luleå","2","Sweden","Luleå","to","Luleå Airport (LLA) -> Luleå || Luleå Airport (LLA) -> Luleå","present_exact"
"Luleå Airport (LLA)","13","Sweden","Arjeplog|Boden|Boliden|Gällivare|Harads|Jokkmokk|Kiruna|Luleå|Piteå / Pitea|Rovaniemi City|Skellefteå|Umeå","from","Luleå Airport (LLA) -> Arjeplog || Luleå Airport (LLA) -> Boden || Luleå Airport (LLA) -> Boliden","present_exact"
"Lund","1","Sweden","Lund","to","Malmö Sturup Airport (MMX) -> Lund","present_exact"
"Luosto","2","Finland","Luosto","to","Rovaniemi Airport (RVN) -> Luosto || Rovaniemi Airport (RVN) -> Luosto","present_exact"
"Lviv","3","Ukraine","Lviv","to","Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv","present_exact"
"Lviv Danylo Halytskyi International Airport (LWO)","3","Ukraine","Lviv","from","Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv","present_exact"
"Lyka World Links Golf, Antalya","4","Turkey","Lyka World Links Golf, Antalya","to","Antalya Airport (AYT) -> Lyka World Links Golf, Antalya || Antalya Airport (AYT) -> Lyka World Links Golf, Antalya || Antalya Airport (AYT) -> Lyka World Links Golf, Antalya","present_exact"
"Lyon","5","France","Lyon","to","Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon","present_exact"
"Lyon St-Exupéry Airport (LYS)","5","France","Lyon","from","Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon","present_exact"
"Lysaker, IT Fornebu, Snaroya (Oslo)","1","Norway","Lysaker, IT Fornebu, Snaroya (Oslo)","to","Oslo Gardermoen Airport (OSL) -> Lysaker, IT Fornebu, Snaroya (Oslo)","present_exact"
"Maan","6","Jordan","Maan","to","Amman Civil Airport (Marka) (ADJ) -> Maan || Amman Civil Airport (Marka) (ADJ) -> Maan || Amman Civil Airport (Marka) (ADJ) -> Maan","present_exact"
"Madaba","6","Jordan","Madaba","to","Amman Civil Airport (Marka) (ADJ) -> Madaba || Amman Civil Airport (Marka) (ADJ) -> Madaba || Amman Civil Airport (Marka) (ADJ) -> Madaba","present_exact"
"Madrid","5","Spain","Madrid","to","Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid","present_exact"
"Mae Nam Ko Samui Thailand","5","Thailand","Mae Nam Ko Samui Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Mae Nam Ko Samui Thailand || Samui International Airport (USM) -> Mae Nam Ko Samui Thailand || Samui International Airport (USM) -> Mae Nam Ko Samui Thailand","present_exact"
"Mae Rim district","3","Thailand","Mae Rim district","to","Chiang Mai International Airport (CNX) -> Mae Rim district || Chiang Mai International Airport (CNX) -> Mae Rim district || Chiang Mai International Airport (CNX) -> Mae Rim district","present_exact"
"mae salong district","1","Thailand","mae salong district","to","Chiang Mai International Airport (CNX) -> mae salong district","present_exact"
"Mae-Hongsorn district","3","Thailand","Mae-Hongsorn district","to","Chiang Mai International Airport (CNX) -> Mae-Hongsorn district || Chiang Mai International Airport (CNX) -> Mae-Hongsorn district || Chiang Mai International Airport (CNX) -> Mae-Hongsorn district","present_exact"
"Maetang district","3","Thailand","Maetang district","to","Chiang Mai International Airport (CNX) -> Maetang district || Chiang Mai International Airport (CNX) -> Maetang district || Chiang Mai International Airport (CNX) -> Maetang district","present_exact"
"Mafraq","6","Jordan","Mafraq","to","Amman Civil Airport (Marka) (ADJ) -> Mafraq || Amman Civil Airport (Marka) (ADJ) -> Mafraq || Amman Civil Airport (Marka) (ADJ) -> Mafraq","present_exact"
"Mahmutlar","5","Turkey","Mahmutlar","to","Antalya Airport (AYT) -> Mahmutlar || Antalya Airport (AYT) -> Mahmutlar || Antalya Airport (AYT) -> Mahmutlar","present_exact"
"Mai Khao, Maikhao Phuket","10","Thailand","Mai Khao, Maikhao Phuket","to","Krabi International Airport (KBV) -> Mai Khao, Maikhao Phuket || Krabi International Airport (KBV) -> Mai Khao, Maikhao Phuket || Phuket International Airport (HKT) -> Mai Khao, Maikhao Phuket","present_exact"
"Makadi Bay","2","Egypt","Makadi Bay","to","Hurghada Airport (HRG) -> Makadi Bay || Hurghada Airport (HRG) -> Makadi Bay","present_exact"
"Malaga","6","Spain","Malaga","to","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga","present_exact"
"Malaga Airport (AGP)","6","Spain","Malaga","from","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga","present_exact"
"Malibu","21","United States of America","Malibu","to","John Wayne Airport (SNA) -> Malibu || John Wayne Airport (SNA) -> Malibu || John Wayne Airport (SNA) -> Malibu","present_exact"
"Malmö / Malmo","5","Denmark|Sweden","Malmö / Malmo","to","Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo || Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo || Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo","present_exact"
"Malmö Sturup Airport (MMX)","14","Denmark|Sweden","Malmö Sturup Airport (MMX)|Copenhagen|Copenhagen Kastrup Airport (CPH)|Gøteborg / Göteborg / Gothenburg|Helsingborg|Landskrona|Lund|Malmö / Malmo|Trelleborg|Ystad","to|from","Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX) || Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX) || Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX)","present_exact"
"Managri","1","Cyprus","Managri","to","Larnaca Airport (LCA) -> Managri","present_exact"
"Manavgat city","5","Turkey","Manavgat city","to","Antalya Airport (AYT) -> Manavgat city || Antalya Airport (AYT) -> Manavgat city || Antalya Airport (AYT) -> Manavgat city","present_exact"
"Marmaris","3","Turkey","Marmaris","to","Dalaman Airport (DLM) -> Marmaris || Dalaman Airport (DLM) -> Marmaris || Dalaman Airport (DLM) -> Marmaris","present_exact"
"Marrakesh city","7","Morocco","Marrakesh city","to","Marrakesh Menara Airport (RAK) -> Marrakesh city || Marrakesh Menara Airport (RAK) -> Marrakesh city || Marrakesh Menara Airport (RAK) -> Marrakesh city","present_exact"
"Marrakesh city centre (riads)","7","Morocco","Marrakesh city centre (riads)","to","Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads) || Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads) || Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads)","present_exact"
"Marrakesh Menara Airport (RAK)","98","Morocco","Annakil|Asni|El Jadida|Gueliz|Hivernage|Marrakesh city|Marrakesh city centre (riads)|Marrakesh outskirts|Menara + Hay Charaf + El Azzouzia|Ouahat Sidi Brahim|Palmeraie|Tameslouht|Tasoultante|cercle d' Loudaya","from","Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil","present_exact"
"Marrakesh outskirts","7","Morocco","Marrakesh outskirts","to","Marrakesh Menara Airport (RAK) -> Marrakesh outskirts || Marrakesh Menara Airport (RAK) -> Marrakesh outskirts || Marrakesh Menara Airport (RAK) -> Marrakesh outskirts","present_exact"
"Marsa Matrouh","2","Egypt","Marsa Matrouh","to","Cairo International Airport (CAI) -> Marsa Matrouh || Cairo International Airport (CAI) -> Marsa Matrouh","present_exact"
"Marseille","5","France","Marseille","to","Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille","present_exact"
"Marseille Provence Airport (MRS)","5","France","Marseille","from","Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille","present_exact"
"Märsta suburban area, Stockholm","2","Sweden","Märsta suburban area, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Märsta suburban area, Stockholm || Stockholm Arlanda Airport (ARN) -> Märsta suburban area, Stockholm","present_exact"
"Marstrand","1","Sweden","Marstrand","to","Gothenburg Landvetter Airport (GOT) -> Marstrand","present_exact"
"Mazotos","1","Cyprus","Mazotos","to","Larnaca Airport (LCA) -> Mazotos","present_exact"
"Menara + Hay Charaf + El Azzouzia","7","Morocco","Menara + Hay Charaf + El Azzouzia","to","Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia || Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia || Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia","present_exact"
"Miami","20","United States of America","Miami","to","Fort Lauderdale-Hollywood International Airport (FLL) -> Miami || Fort Lauderdale-Hollywood International Airport (FLL) -> Miami || Fort Lauderdale-Hollywood International Airport (FLL) -> Miami","present_exact"
"Miami airport (MIA)","36","United States of America","Fort Lauderdale City Florida USA|Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Miami Beach|Miami airport (MIA)|West Palm Beach Airport (PBI)|West Palm Beach Florida USA","from|to","Miami airport (MIA) -> Fort Lauderdale City Florida USA || Miami airport (MIA) -> Fort Lauderdale City Florida USA || Miami airport (MIA) -> Fort Lauderdale City Florida USA","present_exact"
"Miami Beach","24","United States of America","Fort Lauderdale-Hollywood International Airport (FLL)|Miami Beach|Miami airport (MIA)|Port of Miami","from|to","Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL) || Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL) || Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL)","present_exact"
"Mikkeli","3","Finland","Mikkeli","to","Helsinki Vantaa airport (HEL) -> Mikkeli || Helsinki Vantaa airport (HEL) -> Mikkeli || Helsinki Vantaa airport (HEL) -> Mikkeli","present_exact"
"Milan","16","Italy","Milan","to","Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan","present_exact"
"Milan Linate Airport (LIN)","6","Italy","Milan","from","Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan","present_exact"
"Milan Malpensa Airport (MXP)","5","Italy","Milan","from","Milan Malpensa Airport (MXP) -> Milan || Milan Malpensa Airport (MXP) -> Milan || Milan Malpensa Airport (MXP) -> Milan","present_exact"
"Milas–Bodrum International Airport (BJV)","8","Russia|Turkey","Bodrum|Kusadası|Torba","from","Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum","present_exact"
"Mina Jebel Ali, Dubai","11","United Arab Emirates","Mina Jebel Ali, Dubai","to","Dubai international Airport (DXB) -> Mina Jebel Ali, Dubai || Dubai international Airport (DXB) -> Mina Jebel Ali, Dubai || Dubai international Airport (DXB) -> Mina Jebel Ali, Dubai","present_exact"
"Mineral'nie Vody","5","Russia","Mineral'nie Vody","to","Mineralnye Vody airport (MRV) -> Mineral'nie Vody || Mineralnye Vody airport (MRV) -> Mineral'nie Vody || Mineralnye Vody airport (MRV) -> Mineral'nie Vody","present_exact"
"Mineralnye Vody airport (MRV)","16","Russia","Kislovodsk|Mineral'nie Vody|Pyatigorsk","from","Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk","present_exact"
"Minsk","4","Belarus","Minsk","to","Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk","present_exact"
"Minsk Airport (MSQ)","4","Belarus","Minsk","from","Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk","present_exact"
"Montrose","14","United States of America","Montrose","to","John Wayne Airport (SNA) -> Montrose || John Wayne Airport (SNA) -> Montrose || John Wayne Airport (SNA) -> Montrose","present_exact"
"Moscow","24","Russia","Moscow","to","Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow","present_exact"
"Moscow Domodedovo International Airport (DME)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow","present_exact"
"Moscow Sheremetyevo International Airport (SVO)","43","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)|Sheraton Moscow Sheremetyevo Airport","from|to","Moscow Sheremetyevo International Airport (SVO) -> Moscow || Moscow Sheremetyevo International Airport (SVO) -> Moscow || Moscow Sheremetyevo International Airport (SVO) -> Moscow","present_exact"
"Moscow Vnukovo International Airport (VKO)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Vnukovo International Airport (VKO) -> Moscow || Moscow Vnukovo International Airport (VKO) -> Moscow || Moscow Vnukovo International Airport (VKO) -> Moscow","present_exact"
"Moscow Zhukovsky International Airport (ZIA)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Zhukovsky International Airport (ZIA) -> Moscow || Moscow Zhukovsky International Airport (ZIA) -> Moscow || Moscow Zhukovsky International Airport (ZIA) -> Moscow","present_exact"
"Mount Fuji, Hakone","9","Japan","Mount Fuji, Hakone","to","Tokyo (within 23 wards) -> Mount Fuji, Hakone || Tokyo (within 23 wards) -> Mount Fuji, Hakone || Tokyo (within 23 wards) -> Mount Fuji, Hakone","present_exact"
"Mueang Phuket District","5","Thailand","Mueang Phuket District","to","Phuket International Airport (HKT) -> Mueang Phuket District || Phuket International Airport (HKT) -> Mueang Phuket District || Phuket International Airport (HKT) -> Mueang Phuket District","present_exact"
"Mueang, Phang Nga","4","Thailand","Mueang, Phang Nga","to","Krabi International Airport (KBV) -> Mueang, Phang Nga || Krabi International Airport (KBV) -> Mueang, Phang Nga || Phuket International Airport (HKT) -> Mueang, Phang Nga","present_exact"
"Mulhouse","1","France","Mulhouse","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Mulhouse","present_exact"
"Munich","2","Germany","Munich","to","Munich Franz Josef Strauß Airport (MUC) -> Munich || Munich Franz Josef Strauß Airport (MUC) -> Munich","present_exact"
"Munich Franz Josef Strauß Airport (MUC)","2","Germany","Munich","from","Munich Franz Josef Strauß Airport (MUC) -> Munich || Munich Franz Josef Strauß Airport (MUC) -> Munich","present_exact"
"Murmansk","5","Russia","Murmansk","to","Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk","present_exact"
"Murmansk Airport (MMK)","5","Russia","Murmansk","from","Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk","present_exact"
"Naberezhnye Chelny","10","Russia","Naberezhnye Chelny","to","Begishevo Airport (NBC) -> Naberezhnye Chelny || Begishevo Airport (NBC) -> Naberezhnye Chelny || Elabuga Begishevo Airport (NBC) -> Naberezhnye Chelny","present_exact"
"Nabq Bay","2","Egypt","Nabq Bay","to","Sharm el-Sheikh International Airport (SSH) -> Nabq Bay || Sharm el-Sheikh International Airport (SSH) -> Nabq Bay","present_exact"
